long_name,age,height_cm,weight_kg,nationality,league_rank,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,real_face,release_clause_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,num_traits,Atk_effort,Def_effort,player_versatility
Alexander Kofler,33,194,87,22,1.0,70,70,950000,7000,1,1,3,1,1,No,950000,68.0,71.0,62.0,69.0,47.0,73.0,11,10,13,32,9,11,14,10,23,19,48,47,32,66,34,47,66,43,76,12,18,9,18,34,23,26,13,23,68,71,62,73,69,30,30,30,25,27,27,27,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,29,1,1,1,1
権田 修一,31,187,83,6,1.0,70,70,1100000,4000,1,1,2,1,1,No,1100000,69.0,68.0,63.0,71.0,48.0,70.0,17,16,13,27,19,19,21,13,26,20,55,43,41,67,46,47,54,43,54,18,28,11,7,66,29,29,16,21,69,68,63,70,71,30,30,30,29,30,30,30,29,34,34,34,33,33,33,33,33,30,30,30,30,30,30,28,28,28,30,0,1,1,1
Damián Andrés Frascarelli Gutiérrez,35,182,82,16,1.0,70,70,475000,500,1,1,2,1,1,No,475000,67.0,68.0,69.0,69.0,41.0,70.0,22,8,14,42,19,19,18,6,38,26,46,36,43,70,54,52,58,41,56,11,21,21,13,13,20,59,15,10,67,68,69,70,69,31,31,31,27,28,28,28,27,30,30,30,32,32,32,32,32,32,33,33,33,32,30,29,29,29,30,0,1,1,1
Vítor Martín Angulho Fancini,24,182,77,5,1.0,70,70,1400000,5000,1,1,2,1,1,No,1400000,69.0,73.0,58.0,74.0,38.0,63.0,11,8,9,20,8,9,9,23,18,17,33,42,39,66,37,44,77,33,59,9,39,13,13,62,24,56,8,9,69,73,58,63,74,26,26,26,23,26,26,26,23,29,29,29,27,28,28,28,27,25,27,27,27,25,24,27,27,27,24,0,1,1,1
Adriano Well. Bastos Oliveira,32,185,79,5,1.0,70,70,1100000,7000,1,1,3,1,1,No,1100000,72.0,64.0,72.0,68.0,46.0,70.0,15,20,15,24,17,15,13,18,27,15,45,46,39,69,59,54,59,38,45,15,19,23,20,50,15,50,17,13,72,64,72,70,68,32,32,32,27,30,30,30,27,31,31,31,31,31,31,31,31,28,28,28,28,28,28,26,26,26,28,0,1,1,1
Nico Mantl,20,193,85,1,3.0,69,83,2000000,2000,1,1,3,1,1,No,2000000,70.0,69.0,64.0,70.0,32.0,69.0,12,8,15,18,7,13,14,11,18,9,36,29,34,55,42,48,56,33,69,6,18,18,4,30,15,35,11,13,70,69,64,69,70,24,24,24,18,20,20,20,18,21,21,21,22,22,22,22,22,22,23,23,23,22,22,24,24,24,22,0,1,1,1
Illan Meslier,20,196,74,3,1.0,69,81,1500000,18000,0,1,2,1,0,No,1500000,70.0,67.0,70.0,73.0,28.0,67.0,14,9,10,40,5,20,12,10,33,26,21,33,24,62,25,53,42,32,52,17,27,19,8,59,11,54,15,17,70,67,70,67,73,28,28,28,26,29,29,29,26,34,34,34,31,36,36,36,31,28,33,33,33,28,27,28,28,28,27,1,1,1,1
Sondre Løvseth Rossbach,24,189,80,12,1.0,69,76,1100000,2000,1,1,3,1,1,No,1100000,70.0,66.0,66.0,72.0,44.0,67.0,13,15,14,29,19,17,16,21,18,23,45,44,36,66,55,50,70,44,65,19,20,18,11,65,15,48,18,17,70,66,66,67,72,31,31,31,28,31,31,31,28,34,34,34,32,34,34,34,32,30,31,31,31,30,29,29,29,29,29,1,1,1,1
Ander Cantero Armendáriz,25,189,82,2,2.0,69,75,1100000,3000,0,1,3,1,0,No,1100000,65.0,74.0,69.0,67.0,57.0,68.0,19,12,18,35,13,22,25,12,38,21,57,57,67,60,58,52,67,44,70,14,24,22,16,33,25,43,12,19,65,74,69,68,67,33,33,33,30,30,30,30,30,33,33,33,34,33,33,33,34,32,32,32,32,32,31,30,30,30,31,0,1,1,1
Lucas Mauricio Acosta,25,187,84,4,1.0,69,75,1100000,6000,1,1,3,1,1,No,1100000,68.0,70.0,67.0,72.0,63.0,66.0,12,17,19,25,16,14,18,19,22,15,65,62,62,63,62,50,68,44,74,13,20,28,17,26,25,14,21,21,68,70,67,66,72,33,33,33,28,28,28,28,28,29,29,29,30,28,28,28,30,32,30,30,30,32,33,33,33,33,33,0,1,1,1
Adam Jakubech,23,188,82,999,1.0,69,75,1100000,4000,1,1,3,1,1,No,1100000,72.0,64.0,64.0,69.0,40.0,67.0,11,6,12,23,8,13,11,13,20,13,36,44,35,66,24,48,60,27,70,6,19,10,5,39,10,51,10,13,72,64,64,67,69,26,26,26,21,23,23,23,21,25,25,25,25,25,25,25,25,24,24,24,24,24,23,25,25,25,23,0,1,1,1
Michael Zetterer,24,187,79,1,1.0,69,74,1100000,3000,1,1,4,1,2,No,1100000,68.0,66.0,71.0,73.0,42.0,64.0,17,16,18,24,16,17,14,14,18,23,39,44,32,67,40,53,68,38,69,14,27,19,13,27,15,39,16,12,68,66,71,64,73,32,32,32,26,27,27,27,26,28,28,28,29,27,27,27,29,29,29,29,29,29,28,30,30,30,28,0,1,1,1
Daniel Sappa,25,193,90,4,1.0,69,74,1000000,5000,1,1,3,1,1,No,1000000,63.0,72.0,68.0,69.0,34.0,71.0,11,8,15,26,11,11,21,17,25,23,31,37,33,65,35,51,55,23,73,11,25,22,7,43,39,47,13,11,63,72,68,71,69,28,28,28,23,25,25,25,23,28,28,28,26,29,29,29,26,26,30,30,30,26,26,30,30,30,26,1,1,1,1
Jérémy Frick,27,192,90,30,1.0,69,73,950000,7000,0,1,2,1,1,No,950000,68.0,67.0,69.0,69.0,45.0,66.0,20,4,13,33,8,13,12,8,29,27,42,48,42,68,43,52,60,28,71,9,26,19,9,11,15,36,19,14,68,67,69,66,69,29,29,29,25,25,25,25,25,26,26,26,28,28,28,28,28,29,30,30,30,29,29,30,30,30,29,0,1,1,1
Per Kristian Worre Bråtveit,24,184,72,12,1.0,69,73,1000000,3000,1,1,3,1,0,No,1000000,70.0,65.0,72.0,67.0,46.0,70.0,15,20,15,29,17,15,13,18,28,15,45,46,39,69,59,54,59,38,45,15,19,23,20,50,15,50,17,13,70,65,72,70,67,32,32,32,28,30,30,30,28,32,32,32,31,32,32,32,31,28,29,29,29,28,28,26,26,26,28,0,1,1,1
Jamal Blackman,26,199,93,0,2.0,69,72,950000,15000,1,1,2,1,1,No,950000,70.0,69.0,63.0,73.0,27.0,65.0,13,19,18,37,17,14,18,12,33,19,23,30,42,59,33,47,60,25,65,16,23,10,10,29,36,40,13,12,70,69,63,65,73,29,29,29,23,25,25,25,23,28,28,28,26,29,29,29,26,24,28,28,28,24,23,27,27,27,23,1,1,1,1
노동건 卢东件,28,190,88,18,1.0,69,72,950000,2000,1,1,3,1,1,No,950000,69.0,67.0,65.0,71.0,42.0,69.0,17,16,15,28,18,12,15,18,43,16,43,41,48,58,45,49,61,24,72,14,42,16,11,23,25,67,16,13,69,67,65,69,71,29,29,29,24,24,24,24,24,27,27,27,27,28,28,28,27,26,29,29,29,26,26,30,30,30,26,0,1,1,1
Declan Rudd,29,191,85,0,2.0,69,71,875000,11000,1,1,3,1,1,Yes,875000,72.0,62.0,64.0,73.0,50.0,65.0,15,12,14,36,14,20,15,13,36,23,54,46,50,69,34,48,46,31,64,19,24,22,13,65,43,39,13,14,72,62,64,65,73,32,32,32,31,32,32,32,31,37,37,37,34,37,37,37,34,30,33,33,33,30,29,29,29,29,29,0,1,1,1
Marcus Sandberg,29,191,80,10,1.0,69,71,875000,2000,1,1,2,1,1,No,875000,69.0,67.0,66.0,70.0,33.0,69.0,11,15,11,36,14,21,10,12,38,25,30,36,34,67,37,50,55,37,67,12,39,22,13,53,14,55,16,15,69,67,66,69,70,31,31,31,27,30,30,30,27,34,34,34,32,36,36,36,32,29,34,34,34,29,28,30,30,30,28,2,1,1,1
양한빈 梁韩彬,28,195,90,18,1.0,69,71,925000,5000,1,1,3,1,1,No,925000,70.0,63.0,60.0,73.0,44.0,69.0,13,10,13,36,9,14,11,14,34,25,43,44,34,67,55,45,60,35,68,14,12,26,14,36,19,42,13,19,70,63,60,69,73,30,30,30,26,28,28,28,26,31,31,31,31,33,33,33,31,30,32,32,32,30,30,29,29,29,30,0,1,1,1
Patrik Ulf Anders Carlgren,28,188,84,10,1.0,69,71,925000,5000,1,1,2,1,1,No,925000,70.0,66.0,64.0,67.0,33.0,69.0,13,13,18,23,9,14,10,15,16,22,33,33,48,73,43,48,61,34,62,14,21,14,14,54,21,51,12,13,70,66,64,69,67,30,30,30,26,28,28,28,26,31,31,31,28,30,30,30,28,26,28,28,28,26,26,28,28,28,26,1,1,1,1
Alexei Koşelev,26,200,90,999,1.0,69,71,925000,5000,1,1,2,1,1,No,925000,68.0,66.0,58.0,72.0,29.0,69.0,11,8,11,19,6,13,11,14,17,15,33,26,28,70,22,44,33,23,76,5,25,13,6,50,11,53,13,12,68,66,58,69,72,25,25,25,21,23,23,23,21,26,26,26,24,26,26,26,24,23,26,26,26,23,22,26,26,26,22,0,1,1,1
Mike Vanhamel,30,188,84,25,1.0,69,70,825000,5000,1,1,2,1,2,No,825000,69.0,68.0,75.0,70.0,41.0,68.0,13,13,17,36,11,12,14,17,18,27,42,40,36,63,36,56,47,24,68,12,25,26,11,10,14,32,11,13,69,68,75,68,70,31,31,31,24,26,26,26,24,26,26,26,27,26,26,26,27,28,29,29,29,28,28,30,30,30,28,3,1,1,1
Benjamin van Leer,28,187,80,7,1.0,69,70,875000,4000,1,1,2,1,1,No,875000,67.0,71.0,63.0,69.0,43.0,68.0,12,12,18,34,14,11,9,12,35,23,44,42,43,69,57,47,69,35,55,19,41,13,18,45,27,62,15,11,67,71,63,68,69,31,31,31,27,29,29,29,27,33,33,33,31,33,33,33,31,27,31,31,31,27,27,28,28,28,27,1,1,1,1
Markus Kolke,29,187,91,1,3.0,69,70,850000,2000,1,1,2,1,1,No,850000,70.0,65.0,59.0,74.0,44.0,67.0,12,15,20,24,20,13,11,13,21,18,48,40,39,68,58,44,51,45,76,11,18,21,19,25,29,23,17,19,70,65,59,67,74,31,31,31,25,26,26,26,25,27,27,27,28,27,27,27,28,29,29,29,29,29,29,30,30,30,29,2,1,1,1
Moustapha Zeghba,29,190,90,999,1.0,69,70,850000,8000,0,1,3,1,1,No,850000,67.0,67.0,63.0,71.0,49.0,69.0,13,9,13,27,9,12,12,15,28,13,48,49,36,66,34,47,64,25,64,14,23,7,7,49,16,38,9,10,67,67,63,69,71,27,27,27,24,26,26,26,24,29,29,29,28,28,28,28,28,24,25,25,25,24,23,24,24,24,23,0,1,1,1
Edmundo Iván Vázquez Mellado Pérez,37,178,80,13,1.0,69,69,110000,3000,1,1,3,1,1,No,110000,66.0,67.0,71.0,70.0,43.0,69.0,25,8,21,35,12,25,62,65,35,29,41,45,40,63,60,53,77,22,69,20,34,15,11,38,21,65,12,11,66,67,71,69,70,32,32,32,30,30,30,30,30,33,33,33,33,33,33,33,33,29,31,31,31,29,28,31,31,31,28,1,1,1,1
Quentin Westberg,34,185,78,9,1.0,69,69,450000,3000,1,1,3,1,1,No,450000,68.0,65.0,65.0,69.0,45.0,70.0,10,9,8,23,15,9,10,10,30,18,34,54,51,65,60,49,78,40,72,9,16,16,6,33,16,54,13,12,68,65,65,70,69,27,27,27,22,24,24,24,22,26,26,26,26,27,27,27,26,26,27,27,27,26,26,27,27,27,26,2,1,1,1
Roberto Santamaría Ciprián,35,183,75,2,2.0,69,69,275000,2000,1,1,3,1,0,No,275000,68.0,71.0,64.0,69.0,47.0,66.0,15,20,20,17,17,12,30,20,11,15,48,46,49,67,60,48,72,40,62,12,36,22,13,38,16,47,15,11,68,71,64,66,69,31,31,31,25,26,26,26,25,27,27,27,27,25,25,25,27,27,26,26,26,27,27,29,29,29,27,0,1,1,1
Kenny Steppe,31,185,70,25,1.0,69,69,675000,5000,1,1,2,1,0,No,675000,69.0,68.0,64.0,70.0,44.0,68.0,13,14,19,35,11,20,15,14,33,30,43,45,53,66,60,48,69,31,53,16,26,16,11,46,37,46,18,11,69,68,64,68,70,31,31,31,29,31,31,31,29,35,35,35,33,34,34,34,33,28,31,31,31,28,28,28,28,28,28,0,1,1,1
정성룡 郑俊玄,35,191,91,18,1.0,69,69,275000,3000,1,2,3,1,1,Yes,275000,70.0,66.0,77.0,70.0,44.0,68.0,10,12,14,32,17,12,19,11,33,14,41,47,14,64,43,58,46,25,41,16,31,25,14,38,12,52,11,12,70,66,77,68,70,29,29,29,24,27,27,27,24,28,28,28,28,30,30,30,28,26,28,28,28,26,26,25,25,25,26,2,1,1,1
Ruud Boffin,32,196,86,25,1.0,69,69,650000,6000,1,1,2,1,1,No,650000,68.0,67.0,73.0,71.0,57.0,68.0,11,13,12,18,17,20,17,15,12,16,56,57,52,64,33,55,72,38,70,20,35,25,13,41,20,56,12,11,68,67,73,68,71,31,31,31,27,28,28,28,27,29,29,29,29,27,27,27,29,28,28,28,28,28,28,30,30,30,28,0,1,1,1
Wayne Sandilands,36,180,81,999,1.0,69,69,180000,500,1,1,3,1,1,No,180000,69.0,70.0,68.0,71.0,53.0,68.0,13,11,11,19,11,11,10,12,21,35,50,56,57,61,45,51,75,26,72,11,41,22,12,14,37,62,15,10,69,70,68,68,71,31,31,31,26,26,26,26,26,27,27,27,28,25,25,25,28,28,28,28,28,28,28,31,31,31,28,1,1,1,1
Carlos Emilio Lampe Porras,33,192,85,34,1.0,69,69,575000,500,1,1,3,1,1,No,575000,66.0,71.0,62.0,70.0,32.0,68.0,14,17,12,23,12,13,13,18,19,21,28,35,39,62,34,47,36,18,70,17,35,27,17,55,14,52,17,13,66,71,62,68,70,29,29,29,25,28,28,28,25,30,30,30,27,30,30,30,27,26,30,30,30,26,26,30,30,30,26,2,1,1,1
Konstantinos Lamprou,28,178,84,43,1.0,69,69,775000,3000,0,1,3,1,2,No,775000,71.0,62.0,74.0,75.0,44.0,63.0,11,18,11,34,15,15,15,12,37,32,44,44,50,70,50,56,80,30,42,18,27,11,8,47,30,55,11,11,71,62,74,63,75,31,31,31,29,31,31,31,29,35,35,35,32,34,34,34,32,27,29,29,29,27,26,25,25,25,26,2,1,1,1
Daniel Barrio Álvarez,33,191,79,2,2.0,69,69,575000,4000,0,1,3,1,0,No,575000,70.0,69.0,63.0,73.0,49.0,66.0,14,11,17,30,14,17,18,19,17,22,49,49,53,63,52,47,69,42,74,13,31,22,20,30,22,29,18,17,70,69,63,66,73,32,32,32,27,28,28,28,27,30,30,30,30,29,29,29,30,31,31,31,31,31,31,33,33,33,31,0,1,1,1
José Fernando Cuadrado Romero,35,181,76,20,1.0,69,69,275000,1000,1,1,3,1,1,No,275000,70.0,67.0,73.0,67.0,46.0,66.0,13,12,19,32,14,22,13,34,32,31,42,50,62,72,50,55,69,33,54,20,24,24,16,60,23,57,15,18,70,67,73,66,67,33,33,33,32,34,34,34,32,38,38,38,35,37,37,37,35,31,34,34,34,31,31,31,31,31,31,2,1,1,1
Javier Nicolás Burrai,29,187,81,4,1.0,69,69,750000,500,1,1,2,1,1,No,750000,67.0,68.0,70.0,71.0,43.0,69.0,17,19,12,24,17,20,12,12,24,17,47,40,30,60,55,53,73,30,59,16,27,27,14,34,29,33,15,14,67,68,70,69,71,30,30,30,26,27,27,27,26,28,28,28,29,28,28,28,29,28,28,28,28,28,27,28,28,28,27,0,1,1,1
西川 周作,34,183,81,6,1.0,69,69,450000,5000,0,1,3,1,1,No,450000,68.0,66.0,73.0,72.0,42.0,69.0,18,14,27,34,14,29,23,12,39,27,44,40,68,59,56,55,65,36,64,17,25,18,15,67,30,31,17,13,68,66,73,69,72,34,34,34,32,34,34,34,32,39,39,39,35,38,38,38,35,29,33,33,33,29,28,30,30,30,28,3,1,1,1
Luciano Renato Cacheira Sá,24,181,75,5,1.0,69,69,800000,4000,1,1,2,1,1,No,800000,76.0,62.0,77.0,76.0,31.0,55.0,13,9,17,16,29,13,20,12,11,14,29,33,49,66,50,58,64,22,38,15,33,8,11,48,18,49,18,17,76,62,77,55,76,27,27,27,22,25,25,25,22,26,26,26,24,25,25,25,24,23,24,24,24,23,24,26,26,26,24,0,1,1,1
Caio Rodrigo Padricio Resende,28,186,79,5,1.0,69,69,775000,5000,1,1,2,1,1,No,775000,69.0,71.0,46.0,73.0,24.0,70.0,21,17,18,20,15,18,15,21,13,16,22,26,39,60,20,35,55,39,41,22,36,13,11,45,16,34,15,20,69,71,46,70,73,26,26,26,24,24,24,24,24,27,27,27,26,27,27,27,26,26,25,25,25,26,25,25,25,25,25,0,1,1,1
Jesús Reguillos Moya,33,189,87,2,2.0,69,69,575000,3000,1,1,2,1,1,No,575000,67.0,69.0,64.0,70.0,32.0,71.0,13,6,14,43,12,10,11,10,41,24,33,32,27,60,27,48,41,34,63,15,28,9,6,34,16,38,13,12,67,69,64,71,70,27,27,27,23,25,25,25,23,29,29,29,28,32,32,32,28,27,31,31,31,27,26,27,27,27,26,0,1,1,1
Malik Asselah,33,193,85,999,1.0,69,69,575000,8000,1,1,3,1,1,No,575000,70.0,68.0,62.0,72.0,43.0,66.0,16,8,21,29,10,18,17,19,30,22,42,43,51,67,30,47,35,30,58,10,22,9,7,36,14,55,13,11,70,68,62,66,72,29,29,29,26,27,27,27,26,29,29,29,29,29,29,29,29,26,27,27,27,26,26,25,25,25,26,0,1,1,1
박일규 朴一圭,30,180,76,18,1.0,69,69,700000,5000,1,1,4,1,1,No,700000,73.0,54.0,61.0,74.0,38.0,73.0,8,8,11,20,4,15,10,15,35,11,45,33,44,68,40,46,67,44,42,10,15,19,15,58,16,40,11,10,73,54,61,73,74,26,26,26,24,26,26,26,24,30,30,30,28,31,31,31,28,26,28,28,28,26,25,24,24,24,25,2,1,1,1
Maxence André Prévôt,23,187,81,3,2.0,68,77,1100000,2000,1,1,3,1,0,No,1100000,67.0,66.0,67.0,69.0,34.0,68.0,13,7,11,15,6,6,14,12,22,14,43,26,29,63,46,50,66,27,57,5,18,11,6,50,14,58,10,11,67,66,67,68,69,24,24,24,20,22,22,22,20,24,24,24,24,25,25,25,24,22,24,24,24,22,22,23,23,23,22,0,1,1,1
大迫 圭介,20,187,86,6,1.0,68,77,1100000,2000,1,1,2,1,1,No,1100000,68.0,67.0,65.0,70.0,30.0,64.0,14,7,10,18,7,12,10,10,19,20,28,32,27,63,38,49,42,22,68,7,19,8,7,38,15,45,14,11,68,67,65,64,70,25,25,25,21,23,23,23,21,24,24,24,24,24,24,24,24,22,24,24,24,22,22,24,24,24,22,1,1,1,1
Álvaro Vallés Rosa,22,192,82,2,2.0,68,76,1000000,3000,1,1,2,1,0,No,1000000,70.0,67.0,64.0,66.0,30.0,68.0,16,6,10,29,8,12,15,8,28,14,29,30,29,62,25,48,41,40,57,8,22,15,9,30,14,27,10,10,70,67,64,68,66,25,25,25,21,22,22,22,21,25,25,25,25,27,27,27,25,25,26,26,26,25,24,23,23,23,24,0,1,1,1
Yerko Andrés Urra Cortés,23,192,88,32,1.0,68,75,950000,2000,1,1,3,1,2,No,950000,68.0,66.0,67.0,68.0,25.0,69.0,17,8,12,29,8,13,15,13,28,35,23,26,25,65,35,50,62,24,72,9,30,9,4,46,21,46,9,13,68,66,67,69,68,27,27,27,24,26,26,26,24,30,30,30,28,31,31,31,28,24,29,29,29,24,23,27,27,27,23,1,1,1,1
Joe Lumley,25,190,73,0,2.0,68,74,925000,3000,1,1,3,1,0,No,925000,69.0,67.0,69.0,68.0,45.0,64.0,18,12,19,21,15,19,15,13,18,23,43,46,30,64,51,52,51,38,51,16,26,25,19,45,17,28,19,20,69,67,69,64,68,31,31,31,27,29,29,29,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,1,1,1
José Antonio Devecchi,24,188,83,4,1.0,68,74,925000,2000,1,1,2,1,1,No,925000,67.0,65.0,59.0,70.0,48.0,68.0,16,19,17,25,17,15,14,18,25,15,47,48,36,63,54,44,65,27,67,14,26,21,15,38,21,43,21,14,67,65,59,68,70,31,31,31,26,27,27,27,26,29,29,29,29,28,28,28,29,28,29,29,29,28,28,31,31,31,28,1,1,1,1
Ortwin De Wolf,23,190,83,25,1.0,68,74,925000,3000,0,1,3,1,0,No,925000,67.0,68.0,74.0,70.0,35.0,67.0,11,8,12,22,9,9,10,10,21,18,33,37,39,59,22,56,53,23,62,8,26,9,7,33,16,29,10,14,67,68,74,67,70,26,26,26,20,23,23,23,20,24,24,24,23,24,24,24,23,22,24,24,24,22,22,24,24,24,22,2,1,1,1
Marius Gersbeck,25,187,80,1,2.0,68,73,875000,4000,0,1,3,1,1,No,875000,67.0,69.0,58.0,70.0,42.0,65.0,18,17,15,35,19,20,14,13,32,23,40,43,37,68,52,44,56,33,57,16,36,22,15,28,24,54,16,15,67,69,58,65,70,31,31,31,28,29,29,29,28,31,31,31,31,32,32,32,31,29,31,31,31,29,29,29,29,29,29,0,1,1,1
Cameron Dawson,24,193,69,0,2.0,68,73,900000,5000,1,1,3,1,1,No,900000,66.0,66.0,68.0,72.0,56.0,63.0,20,8,18,31,17,21,19,9,28,21,49,61,35,64,66,51,60,39,69,5,25,17,8,23,23,51,19,20,66,66,68,63,72,31,31,31,27,27,27,27,27,28,28,28,31,28,28,28,31,32,30,30,30,32,31,31,31,31,31,0,1,1,1
Marvin Schwäbe,25,188,83,1,1.0,68,73,875000,6000,1,1,3,1,1,No,875000,71.0,68.0,77.0,69.0,46.0,63.0,21,15,15,51,15,20,20,9,49,39,49,43,45,61,46,58,64,36,70,17,28,17,12,62,28,61,16,17,71,68,77,63,69,35,35,35,34,35,35,35,34,41,41,41,39,42,42,42,39,33,38,38,38,33,32,32,32,32,32,2,1,1,1
Fabijan Buntić,23,194,90,35,3.0,68,73,900000,2000,0,1,2,1,1,No,900000,69.0,68.0,66.0,69.0,25.0,68.0,10,8,14,24,6,6,10,10,22,18,22,27,24,59,23,50,30,19,63,7,28,10,4,27,13,30,14,12,69,68,66,68,69,24,24,24,18,20,20,20,18,22,22,22,21,23,23,23,21,21,25,25,25,21,21,25,25,25,21,0,1,1,1
Johannes Brinkies,27,188,87,1,3.0,68,72,825000,950,1,1,5,1,2,No,825000,67.0,64.0,65.0,74.0,52.0,69.0,10,15,10,34,8,12,12,19,29,18,52,52,55,58,52,49,71,42,66,11,20,21,13,54,28,33,9,11,67,64,65,69,74,30,30,30,27,29,29,29,27,33,33,33,31,32,32,32,31,28,29,29,29,28,27,26,26,26,27,1,1,1,1
Yanick Brecher,27,196,88,30,1.0,68,72,825000,5000,1,1,3,1,1,No,825000,70.0,63.0,65.0,71.0,40.0,66.0,12,13,13,37,14,16,18,17,23,22,38,42,37,68,44,49,70,24,67,18,19,21,18,37,24,56,20,17,70,63,65,66,71,31,31,31,27,29,29,29,27,31,31,31,30,31,31,31,30,29,31,31,31,29,29,32,32,32,29,2,1,1,1
Tyler Miller,27,193,93,9,1.0,68,72,825000,3000,1,1,2,1,1,No,825000,69.0,65.0,66.0,68.0,32.0,67.0,11,15,12,21,16,20,10,13,28,22,33,32,33,66,40,50,56,28,58,18,26,14,6,42,15,52,14,13,69,65,66,67,68,28,28,28,24,26,26,26,24,29,29,29,27,29,29,29,27,25,28,28,28,25,24,27,27,27,24,0,1,1,1
Filip Bednarek,27,188,81,14,1.0,68,71,775000,3000,1,1,2,1,1,No,775000,66.0,65.0,64.0,70.0,43.0,68.0,16,18,17,24,13,14,13,16,22,25,47,40,33,64,58,48,56,45,70,13,20,22,12,30,31,55,16,21,66,65,64,68,70,31,31,31,26,27,27,27,26,28,28,28,29,29,29,29,29,30,29,29,29,30,29,29,29,29,29,0,1,1,1
Cristian Harson Bonilla Garzón,27,189,80,20,1.0,68,71,775000,2000,1,1,2,1,1,No,775000,70.0,67.0,65.0,71.0,55.0,64.0,20,11,17,24,19,12,12,19,17,17,57,54,58,63,37,49,81,35,65,18,24,22,13,49,21,56,14,14,70,67,65,64,71,30,30,30,28,28,28,28,28,30,30,30,30,29,29,29,30,29,28,28,28,29,29,29,29,29,29,1,1,1,1
Craig MacGillivray,27,188,78,26,3.0,68,71,775000,4000,1,1,3,1,1,No,775000,68.0,65.0,64.0,70.0,50.0,66.0,14,13,20,37,17,19,15,12,34,38,51,50,47,64,42,48,63,30,75,16,19,23,15,44,30,44,12,20,68,65,64,66,70,34,34,34,31,33,33,33,31,36,36,36,35,36,36,36,35,31,33,33,33,31,31,31,31,31,31,1,1,1,1
中村 航輔,25,185,82,6,1.0,68,71,825000,3000,1,1,3,1,1,No,825000,71.0,62.0,69.0,71.0,39.0,64.0,12,9,12,24,9,12,14,11,23,18,43,35,60,70,53,52,65,25,61,9,31,9,6,36,13,40,13,14,71,62,69,64,71,27,27,27,23,25,25,25,23,27,27,27,26,26,26,26,26,24,26,26,26,24,24,25,25,25,24,1,1,1,1
Johan David Padilla Quiñónez,27,185,80,27,1.0,68,71,775000,500,1,1,4,1,2,No,775000,70.0,68.0,65.0,68.0,39.0,64.0,16,14,15,31,13,13,14,14,30,19,41,38,39,62,47,49,65,30,59,13,23,13,11,35,18,47,15,14,70,68,65,64,68,29,29,29,25,26,26,26,25,29,29,29,28,29,29,29,28,26,28,28,28,26,26,27,27,27,26,0,1,1,1
Samuel Şahin-Radlinger,27,196,83,22,1.0,68,70,750000,4000,1,1,2,1,0,No,750000,70.0,62.0,59.0,71.0,39.0,68.0,12,15,12,24,8,10,19,16,25,23,42,37,36,64,42,44,55,29,59,12,16,12,13,45,16,51,13,20,70,62,59,68,71,28,28,28,25,27,27,27,25,29,29,29,28,29,29,29,28,26,27,27,27,26,26,26,26,26,26,0,1,1,1
Nicolai Oppen Larsen,29,190,83,24,2.0,68,70,750000,3000,1,1,3,1,1,No,750000,67.0,66.0,69.0,71.0,44.0,69.0,12,11,13,50,12,19,16,12,45,37,39,48,35,60,28,52,55,32,67,13,20,20,12,55,19,57,11,10,67,66,69,69,71,32,32,32,31,33,33,33,31,38,38,38,35,40,40,40,35,31,36,36,36,31,29,30,30,30,29,1,1,1,1
Arthur Desmas,26,197,87,3,2.0,68,70,775000,2000,1,1,2,1,0,No,775000,68.0,67.0,66.0,70.0,29.0,67.0,18,18,12,23,14,15,16,10,20,19,28,30,26,62,37,50,32,24,60,17,20,14,9,41,18,31,17,11,68,67,66,67,70,28,28,28,23,25,25,25,23,27,27,27,26,27,27,27,26,24,26,26,26,24,24,25,25,25,24,1,1,1,1
Christoph Riegler,28,187,83,22,1.0,68,70,775000,4000,1,1,2,1,1,No,775000,68.0,66.0,61.0,72.0,30.0,65.0,13,8,12,25,5,10,11,13,18,11,28,32,32,63,47,46,64,21,73,7,22,10,7,53,16,32,14,10,68,66,61,65,72,25,25,25,21,23,23,23,21,26,26,26,24,26,26,26,24,22,25,25,25,22,22,26,26,26,22,1,1,1,1
